CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
1,10/4/2012,1,DIVERS,,
2,11/2/2011,40,N,G1047,G0021
3,12/20/2012,0,DIVERS,,
5,11/2/2011,70,FAB,,
9,11/2/2011,40,N,G1079,G0052
12,11/2/2011,50,N,,
13,11/2/2011,70,N,G1029,G0052
14,11/2/2011,70,N,,
16,11/2/2011,70,GSB,G1123,G0030
19,11/2/2011,70,N,G0016,G0038
22,11/2/2011,90,GSB,G1123,G0030
24,11/2/2011,40,N,G1106,G1016
25,11/2/2011,40,FAB,,
27,11/2/2011,50,N,G1011,G0002
33,11/2/2011,40,N,G1063,G0050
34,11/2/2011,90,N,G1012,G1137
37,11/2/2011,50,N,G1119,G0025
39,11/2/2011,40,N,G1128,G0049
43,11/2/2011,40,N,G1128,G0049
44,11/2/2011,90,FAB,G1015,G0014
45,11/2/2011,40,N,G1060,G0014
48,11/2/2011,50,N,G1119,G0025
49,11/2/2011,80,N,G1083,G0052
51,11/2/2011,90,N,G1029,G0052
52,11/2/2011,70,N,,
53,11/2/2011,90,N,G1113,G0010
58,11/2/2011,50,N,G1089,G0038
61,11/2/2011,50,EG,G1111,G0003
62,11/2/2011,40,N,G1094,G0014
63,11/2/2011,70,N,G1094,G0014
64,11/2/2011,90,N,G1113,G0010
66,11/2/2011,40,GSB,G1123,G0030
67,11/2/2011,90,N,G1037,G0061
68,11/2/2011,90,GSB,G1123,G0030
72,11/2/2011,90,N,G1055,G0014
73,11/2/2011,70,N,G1094,G0014
78,11/2/2011,40,N,G1075,G0052
79,11/2/2011,50,N,G1089,G0038
81,11/2/2011,90,N,G1037,G0061
84,11/2/2011,70,N,G1077,G0052
85,11/2/2011,70,N,G1093,G0014
86,11/2/2011,40,N,G1079,G0052
88,11/2/2011,70,N,G1077,G0052
90,11/2/2011,40,N,G1063,G0050
91,11/2/2011,70,N,,
94,11/2/2011,40,N,G1063,G0050
96,11/2/2011,90,GSB,G1123,G0030
98,11/2/2011,70,N,,
99,11/2/2011,40,N,G1106,G1016
100,11/2/2011,50,N,G1089,G0038
101,11/2/2011,70,GSB,G1123,G0030
103,11/2/2011,50,N,G1089,G0038
104,11/2/2011,70,N,G1093,G0014
107,11/2/2011,91,FAB,G1006,G0027
109,11/2/2011,70,N,G1089,G0038
111,11/2/2011,40,N,G1037,G0061
113,11/2/2011,70,N,G1075,G0052
114,11/2/2011,70,N,G1076,G0052
116,11/2/2011,90,N,,
119,11/2/2011,70,N,G1075,G0052
120,11/2/2011,40,GSB,G1123,G0030
121,11/2/2011,50,N,G1089,G0038
122,11/2/2011,90,N,G1011,G0002
123,11/2/2011,40,N,G1128,G0049
124,11/2/2011,70,N,G1107,G1016
128,11/2/2011,70,GSB,G1123,G0030
130,11/2/2011,50,N,,
131,11/2/2011,70,N,G1106,G1016
135,11/2/2011,50,N,G1089,G0038
136,11/2/2011,40,N,G1079,G0052
137,11/2/2011,40,N,G1011,G0002
138,11/2/2011,70,N,,
139,11/2/2011,90,N,G1106,G1016
143,11/2/2011,50,N,G1012,G1137
145,11/2/2011,40,FAB,G1128,G0049
146,11/2/2011,40,GSB,G1123,G0030
147,11/2/2011,70,GSB,G1123,G0030
148,11/2/2011,40,GSB,G1123,G0030
149,11/2/2011,80,GSB,G1123,G0030
150,11/2/2011,70,GSB,G1123,G0030
151,11/2/2011,40,GSB,G1123,G0030
152,11/2/2011,90,GSB,G1123,G0030
153,11/2/2011,90,GSB,G1123,G0030
155,11/2/2011,70,N,G1105,G0001
156,11/2/2011,40,N,G1075,G0052
157,11/2/2011,40,N,g1106,G1016
158,11/2/2011,40,N,G1079,G0052
164,11/2/2011,40,N,G1128,G0049
166,11/2/2011,40,N,G1079,G0052
167,11/2/2011,90,N,G1011,G0002
168,11/2/2011,70,N,,
171,11/2/2011,70,N,,
172,11/2/2011,70,N,G1077,G0052
178,11/2/2011,40,N,G1075,G0052
182,11/2/2011,70,N,G1013,G0015
187,11/2/2011,80,N,G1100,G0038
190,11/2/2011,70,N,G1064,G0050
193,11/2/2011,40,N,G1075,G0052
201,11/2/2011,40,N,G1100,G0038
202,11/2/2011,40,N,G1100,G0038
207,11/2/2011,50,N,G1081,G0052
